Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0171200001923002874;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЕДИНАЯ СЛУЖБА ЗАКАЗЧИКА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;08.08.2023;22.08.2023;Определение поставщика отменено;;;24.08.2023;;;;;
№2300500000323000002;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";07.08.2023;17.08.2023;Закупка завершена;;;15.08.2023;;;;;
№32312635896;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";01.08.2023;24.08.2023;Закупка завершена;;;14.08.2023 11:00;;;;;
№32312634970;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКИЙ БАЛКЕРНЫЙ ТЕРМИНАЛ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКИЙ БАЛКЕРНЫЙ ТЕРМИНАЛ""";01.08.2023;21.08.2023;Закупка завершена;;;14.08.2023 11:00;;;;;
№2300500000323000001;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";28.07.2023;09.08.2023;Закупка завершена;;;07.08.2023;;;;;
№32312597910;30.11.33.110: Земснаряды;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";19.07.2023;21.07.2023;Закупка завершена;;;27.07.2023 11:00;;;;;
№32312549431;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";03.07.2023;24.07.2023;Закупка отменена;;;01.08.2023 11:00;;;;;
№32312549429;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";03.07.2023;14.07.2023;Закупка отменена;;;25.07.2023 11:00;;;;;
№32312549414;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКИЙ БАЛКЕРНЫЙ ТЕРМИНАЛ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКИЙ БАЛКЕРНЫЙ ТЕРМИНАЛ""";03.07.2023;28.07.2023;Закупка отменена;;;03.08.2023 11:00;;;;;
№0322100015823000038;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;03.07.2023;20.07.2023;Закупка завершена;;;19.07.2023;;;;;
№0173100005023000011;;;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;20.06.2023;30.06.2023;Закупка завершена;;;28.06.2023;;;;;
№0173100005023000008;;;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;11.05.2023;26.05.2023;Закупка завершена;;;24.05.2023;;;;;
№0319100033324000200;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";26.12.2024;28.01.2025;Определение поставщика завершено;;;24.01.2025;;;;;
№0329100005924000390;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";29.11.2024;27.01.2025;Определение поставщика завершено;;;27.01.2025;;;;;
№0319100033324000175;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";30.10.2024;04.12.2024;Определение поставщика завершено;;;02.12.2024;;;;;
№0319100033324000152;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";05.09.2024;24.09.2024;Определение поставщика завершено;;05.09.2024;23.09.2024;;;;;
№0319100038624000117;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ЕНИСЕЙСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ЕНИСЕЙСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";16.08.2024;10.09.2024;Определение поставщика завершено;;;06.09.2024;;;;;
№0156200009924000912;"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.21.120: Суда речные пассажирские";30.11.21.000-00000001: Пассажирское судно;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОРГАНИЗАТОР ПАССАЖИРСКИХ ПЕРЕВОЗОК ПЕРМСКОГО КРАЯ""";МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ПЕРМСКОГО КРАЯ;08.08.2024;05.09.2024;Определение поставщика завершено;;;03.09.2024;;;;;
№0319100038624000105;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ЕНИСЕЙСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ЕНИСЕЙСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";05.07.2024;01.08.2024;Определение поставщика завершено;;;31.07.2024;;;;;
№0324100010424000097;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";24.05.2024;14.06.2024;Определение поставщика завершено;;;13.06.2024;;;;;
№0324100010424000098;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";24.05.2024;14.06.2024;Определение поставщика завершено;;;13.06.2024;;;;;
№0352100012723000046;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";30.06.2023;20.07.2023;Определение поставщика завершено;;;20.07.2023;;;;;
№0352100012723000047;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";30.06.2023;20.07.2023;Определение поставщика завершено;;;20.07.2023;;;;;
№0324100010423000159;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ДВИНСКО-ПЕЧОРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";30.06.2023;17.07.2023;Определение поставщика завершено;;30.06.2023;17.07.2023;;;;;
№31300689062;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;21.11.2013;10.12.2013;Закупка завершена;;21.11.2013;19.12.2013;;;;;
№31401115376;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;28.04.2014;28.05.2014;Закупка завершена;;28.04.2014;03.06.2014;;;;;
№31908002184;30.11.22.110: Суда наливные морские;30.11.22.110: Суда наливные морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.06.2019;18.06.2019;Закупка завершена;;18.06.2019;16.07.2019;;;;;
№31907881368;30.11.22.110: Суда наливные морские;30.11.22.110: Суда наливные морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;17.05.2019;17.05.2019;Закупка отменена;;17.05.2019;17.06.2019;;;;;
№32312023607;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;11.01.2023;16.01.2023;Закупка завершена;;11.01.2023;20.01.2023;;;;;
№31200081551;;;"Государственное унитарное предприятие Камчатского края ""Камчаттрансфлот""";;24.12.2012;12.01.2013;Закупка завершена;;24.12.2012;28.01.2013;;;;;
№31300737694;;;"Государственное унитарное предприятие Камчатского края ""Камчаттрансфлот""";;10.12.2013;10.12.2013;Закупка завершена;;10.12.2013;31.12.2013;;;;;
№32211569555;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;22.07.2022;03.08.2022;Закупка завершена;;22.07.2022;16.08.2022;;;;;
№32211659411;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;31.08.2022;31.08.2022;Закупка завершена;;31.08.2022;08.09.2022;;;;;
№32110872115;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;02.12.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32211586795;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМАРСКОЕ РЕЧНОЕ ПАССАЖИРСКОЕ ПРЕДПРИЯТИЕ""";;29.07.2022;29.07.2022;Закупка завершена;;29.07.2022;08.08.2022;;;;;
№0120200004719000494;30.11.2: Суда и аналогичные плавучие средства для перевозки людей или грузов;30.11.20.000-00000001: Суда и аналогичные плавучие средства для перевозки людей или грузов;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ПРИМОРСКОГО КРАЯ;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРИМОРСКОГО КРАЯ;15.10.2019;24.10.2019;Определение поставщика завершено;;15.10.2019;23.10.2019;;;;;
№0173100004520001417;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;22.06.2020;22.06.2020;Определение поставщика завершено;;22.06.2020;08.07.2020;;;;;
№31907591401;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";;28.02.2019;13.03.2019;Закупка завершена;;28.02.2019;21.03.2019;;;;;
№0173100012519000019;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;04.03.2019;03.04.2019;Определение поставщика завершено;;04.03.2019;28.03.2019;;;;;
